Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2021-01-04,88,0,88,82,31,61,18
2021-01-05,389,6,389,305,154,240,48
2021-01-07,418,6,418,273,236,175,78
2021-01-08,639,25,638,503,337,344,147
2021-01-09,805,11,805,696,585,577,98
2021-01-10,3659,18,3658,3306,1415,3000,231
2021-01-11,1048,10,1048,938,712,767,151
2021-01-12,823,13,823,713,404,555,141
2021-01-13,837,35,837,691,447,490,179
2021-01-14,651,7,651,494,368,375,111
