Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2020-10-31,1149,45,1149,1111,52,1079,4
2020-11-01,949,28,949,920,11,875,5
2020-11-02,351,15,351,344,4,320,3
2020-11-03,125,9,125,118,7,104,1
2020-11-04,165,16,165,147,7,135,1
2020-11-05,349,124,349,332,9,310,0
2020-11-06,387,56,387,363,20,314,28
2020-11-07,550,90,550,530,76,449,66
2020-11-08,280,74,280,252,13,187,40
2020-11-09,255,39,255,225,15,195,8
2020-11-10,535,55,535,500,12,455,36
2020-11-11,374,19,374,353,5,337,6
2020-11-12,208,16,208,183,15,174,3
2020-11-13,181,4,181,170,2,166,0
2020-11-15,718,23,718,703,16,681,10
2020-11-16,441,26,441,430,7,402,4
2020-11-17,725,92,725,679,10,613,48
2020-11-18,751,56,751,711,11,667,24
2020-11-19,861,42,861,826,271,804,9
2020-11-20,1075,60,1075,1021,132,982,12
2020-11-21,1921,512,1921,1843,467,1484,300
2020-11-22,365,63,365,335,54,297,22
2020-11-23,273,29,273,233,32,217,3
2020-11-24,211,27,211,188,21,169,6
2020-11-25,225,19,225,207,3,192,0
2020-11-26,472,32,472,429,239,393,4
2020-11-27,494,191,494,454,49,332,105
2020-11-28,3119,365,3119,2767,249,2574,107
2020-11-29,8657,637,8656,8027,611,7701,139
2020-11-30,1975,151,1975,1873,141,1838,6
2020-12-01,600,38,600,550,45,521,14
2020-12-02,546,67,546,450,56,411,12
2020-12-03,309,34,309,271,31,240,5
2020-12-04,345,26,345,310,17,292,4
2020-12-05,213,29,213,175,14,163,3
2020-12-06,986,32,986,939,695,920,8
2020-12-07,267,18,267,237,113,228,4
2020-12-08,545,56,545,502,61,470,11
2020-12-09,2160,116,2160,2082,32,2027,26
2020-12-10,691,47,691,656,12,627,15
2020-12-11,711,39,711,675,6,648,13
2020-12-12,344,36,344,304,5,289,10
2020-12-13,202,23,202,176,3,164,6
2020-12-14,3982,444,3981,3670,136,3338,191
2020-12-15,749,161,749,693,59,546,99
2020-12-16,767,104,766,727,29,638,51
2020-12-17,456,38,456,427,41,406,5
2020-12-18,847,60,847,811,30,793,5
2020-12-19,326,31,326,302,28,274,13
2020-12-20,161,26,161,148,8,128,8
2020-12-21,266,18,266,247,8,233,3
2020-12-22,138,31,138,119,4,91,14
2020-12-23,171,23,171,145,37,132,6
2020-12-24,186,24,186,170,43,156,5
2020-12-25,66,11,66,62,5,53,3
2020-12-26,132,8,132,120,5,111,4
2020-12-27,200,76,200,167,3,152,4
2020-12-28,264,117,264,233,5,149,76
2020-12-29,78,12,78,70,7,62,3
2020-12-30,158,19,158,139,4,125,5
2020-12-31,539,26,539,518,6,499,11
