Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2020-10-31,97,13,96,77,5,36,36
2020-11-01,247,12,247,219,142,166,42
2020-11-02,257,27,257,229,113,180,44
2020-11-03,155,11,155,118,30,71,42
2020-11-04,166,50,166,133,32,79,51
2020-11-05,119,17,119,97,17,45,47
2020-11-06,149,11,149,122,33,47,71
2020-11-07,111,14,111,86,16,48,35
2020-11-08,95,11,95,82,6,41,37
2020-11-09,70,8,70,51,9,18,33
2020-11-10,69,8,67,50,15,16,32
2020-11-11,103,8,102,90,6,25,62
2020-11-12,85,10,85,70,11,30,39
2020-11-13,12,0,12,10,11,0,10
2020-11-15,51,7,51,44,1,35,6
2020-11-16,7,0,7,6,1,2,3
2020-11-17,20,3,20,15,5,5,10
2020-11-18,50,7,50,34,10,15,16
2020-11-19,112,9,112,98,1,79,15
2020-11-20,157,14,157,135,19,95,34
2020-11-21,122,5,122,105,38,75,28
2020-11-22,102,1,102,59,46,30,29
2020-11-23,138,15,137,68,69,41,24
2020-11-24,91,7,91,72,27,47,23
2020-11-25,59,2,59,39,24,23,16
2020-11-26,55,7,55,40,16,23,16
2020-11-27,13,1,13,8,4,4,3
2020-11-28,23,3,23,16,1,5,10
2020-11-29,28,3,28,24,3,14,7
2020-11-30,90,13,90,80,36,55,16
2020-12-01,42,4,42,36,16,17,15
2020-12-02,42,2,42,32,28,27,6
2020-12-03,39,6,39,26,13,19,4
2020-12-04,75,6,75,58,21,40,17
2020-12-05,77,4,77,42,18,34,8
2020-12-06,33,5,33,17,13,13,4
2020-12-07,66,3,66,43,28,39,1
2020-12-08,57,6,57,29,6,23,3
2020-12-09,85,13,85,36,13,31,5
2020-12-10,72,4,72,24,8,15,7
2020-12-11,99,6,99,57,5,27,29
2020-12-12,89,9,89,36,15,25,7
2020-12-13,85,7,85,63,3,57,5
2020-12-14,92,5,92,48,8,35,12
2020-12-15,66,6,66,20,1,13,6
2020-12-16,104,4,103,37,6,19,16
2020-12-17,224,6,224,159,2,152,7
2020-12-18,75,7,75,38,4,24,9
2020-12-19,73,6,73,41,2,33,7
2020-12-20,52,2,52,35,4,22,13
2020-12-21,51,2,51,25,8,19,5
2020-12-22,38,3,38,10,8,5,5
2020-12-23,10,1,10,5,8,4,1
2020-12-24,20,2,20,8,1,0,7
2020-12-25,13,1,13,10,10,8,2
2020-12-26,17,0,17,8,10,0,8
2020-12-27,28,5,28,15,2,9,5
2020-12-28,42,4,42,16,3,8,6
2020-12-29,61,2,61,35,3,31,5
2020-12-30,95,4,95,73,55,68,5
2020-12-31,54,6,54,40,15,29,8
