Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2020-10-31,44,8,44,23,12,21,1
2020-11-01,21,8,21,13,12,13,0
2020-11-02,11,2,11,9,3,7,2
2020-11-03,9,1,9,7,3,1,6
2020-11-04,49,7,49,32,7,19,7
2020-11-05,84,10,84,79,4,73,2
2020-11-06,71,8,71,66,4,56,8
2020-11-07,21,2,21,17,1,14,3
2020-11-08,197,39,197,189,3,16,170
2020-11-09,63,5,63,55,3,8,46
2020-11-10,44,11,44,40,3,36,2
2020-11-11,38,12,38,31,3,28,2
2020-11-12,15,7,15,9,3,6,3
2020-11-13,5,3,5,4,3,0,2
2020-11-15,5,2,5,3,3,2,1
2020-11-16,12,1,12,11,3,10,1
2020-11-17,22,3,22,18,3,17,1
2020-11-18,102,0,102,95,5,93,2
2020-11-19,33,9,33,24,5,22,1
2020-11-20,42,7,42,26,5,22,3
2020-11-21,12,3,12,9,3,4,1
2020-11-22,6,3,6,4,3,4,0
2020-11-23,207,33,207,200,1,10,185
2020-11-24,16,3,16,15,1,10,3
2020-11-25,7,0,7,4,1,4,0
2020-11-26,26,3,26,17,9,14,2
2020-11-27,8,1,8,7,9,4,3
2020-11-28,66,8,66,59,9,57,1
2020-11-29,198,22,198,185,2,178,0
2020-11-30,108,18,108,103,2,97,1
2020-12-01,15,3,15,12,1,9,1
2020-12-02,81,5,81,74,2,65,7
2020-12-03,2304,855,2304,1713,199,1493,131
2020-12-04,3546,1136,3546,2551,270,2297,118
2020-12-05,3136,871,3135,2561,233,2358,107
2020-12-06,3977,1023,3974,3131,298,2908,128
2020-12-07,3777,917,3776,3140,411,2875,135
2020-12-08,3472,988,3469,2655,647,2351,173
2020-12-09,4060,1244,4057,3083,373,2701,226
2020-12-10,3492,949,3489,2743,429,2442,143
2020-12-11,4346,1144,4344,3587,448,3301,147
2020-12-12,2176,698,2175,1686,262,1516,83
2020-12-13,2006,585,2006,1502,256,1333,70
2020-12-14,2773,843,2773,2000,361,1769,125
2020-12-15,3760,1169,3755,2898,358,2567,177
2020-12-16,4506,1048,4502,3715,255,3429,151
2020-12-17,4578,1184,4577,3779,297,3487,137
2020-12-18,3764,917,3758,3071,219,2852,146
2020-12-19,3011,948,3005,2445,183,2232,135
2020-12-20,2642,974,2639,2102,266,1918,64
2020-12-21,6508,1434,6506,5372,607,5090,137
2020-12-22,4719,1497,4719,3711,631,3429,139
2020-12-23,3423,1295,3420,2659,534,2401,129
2020-12-24,2702,1066,2700,2110,367,1946,61
2020-12-25,2727,612,2724,2284,417,2174,46
2020-12-26,2849,540,2846,2434,310,2291,60
2020-12-27,3253,594,3248,2787,256,2673,45
2020-12-28,3979,937,3977,3251,358,3027,127
2020-12-29,3645,1184,3641,2768,380,2532,112
2020-12-30,5040,1417,5039,4085,490,3787,106
2020-12-31,3794,943,3791,3102,268,2899,99
