Date,Number of tweets,Number of tweets with links,Number of tweets with hashtags,Number of tweets with mentions,Number of tweets with media uploads,Number of retweets,Number of replies
2020-10-31,22,3,22,4,14,4,0
2020-11-01,2,0,2,1,1,1,0
2020-11-02,15,1,15,10,13,9,1
2020-11-03,8,1,8,1,4,0,0
2020-11-04,104,21,104,67,12,54,12
2020-11-05,53,6,53,25,5,17,4
2020-11-06,373,28,373,201,81,178,20
2020-11-07,250,21,250,142,42,119,15
2020-11-08,261,19,261,140,60,108,25
2020-11-09,175,15,175,102,49,86,15
2020-11-10,116,16,116,52,24,31,15
2020-11-11,105,7,105,67,50,60,3
2020-11-12,82,5,81,49,26,39,7
2020-11-13,43,5,43,24,16,18,5
2020-11-15,176,1,176,157,156,154,1
2020-11-16,32,3,32,22,15,17,5
2020-11-17,51,12,51,31,5,22,4
2020-11-18,74,7,74,47,2,32,14
2020-11-19,102,17,102,62,23,54,3
2020-11-20,48,11,48,23,5,20,1
2020-11-21,46,7,46,25,15,18,7
2020-11-22,135,13,135,107,72,99,5
2020-11-23,90,12,90,58,23,55,2
2020-11-24,108,3,108,89,68,85,3
2020-11-25,32,2,32,26,21,24,2
2020-11-26,47,5,47,30,25,27,2
2020-11-27,40,7,40,31,8,27,2
2020-11-28,32,4,32,21,3,16,6
2020-11-29,50,5,50,37,8,34,2
2020-11-30,88,6,88,63,18,59,5
2020-12-01,31,4,31,23,7,18,3
2020-12-02,17,2,17,9,2,7,0
2020-12-03,22,4,22,13,5,6,6
2020-12-04,26,6,26,13,5,9,1
2020-12-05,40,4,40,32,2,26,4
2020-12-06,23,6,23,17,4,11,6
2020-12-07,14,6,14,7,4,6,1
2020-12-08,28,5,28,20,7,19,0
2020-12-09,32,15,32,16,5,13,3
2020-12-10,20,5,20,10,1,9,2
2020-12-11,40,4,40,32,4,30,1
2020-12-12,19,5,19,9,4,8,2
2020-12-13,29,5,29,16,6,14,1
2020-12-14,20,3,20,14,8,13,0
2020-12-15,59,14,59,48,9,43,3
2020-12-16,31,4,31,22,4,21,0
2020-12-17,26,7,26,19,6,16,1
2020-12-18,11,5,11,7,6,4,2
2020-12-19,5,1,5,3,3,1,2
2020-12-20,24,3,24,21,1,20,0
2020-12-21,12,2,12,11,1,9,1
2020-12-22,28,7,28,18,7,16,4
2020-12-23,64,44,64,59,1,18,43
2020-12-24,18,9,18,9,1,8,1
2020-12-25,23,4,23,8,10,7,0
2020-12-26,12,4,12,6,1,4,0
2020-12-27,15,1,15,4,10,4,0
2020-12-28,22,5,22,3,14,3,0
2020-12-29,25,8,25,15,2,11,4
2020-12-30,10,2,10,4,2,3,1
2020-12-31,18,12,18,14,3,12,2
