"from_user_name","to_user_name","in_reply_to_status_id","location"
"marialva1090","jpjaramillo25",1.33251514149838E+018,"Ecuador"
"MenManu19","WalterDossier",1.30557793364658E+018,"Ecuador"
"EvaPaolaEspino","egraetzer",1.3338342781033E+018,"Ecuador"
"EmilyyaCorrea","maurohidalgo21",1.33384556529832E+018,"Ecuador"
"EmilyyaCorrea","maurohidalgo21",1.33384556529832E+018,"Ecuador"
"KarlitaDgz_85","1JavierEliu",1.3339414209908E+018,"Ecuador 🇪🇨"
"Mor1ri","KinttoLucas",1.33363592749586E+018,"Machala, Ecuador"
"GerardoRoj_","MarthitaMatamo1",1.33272850286557E+018,"Ecuador"
"IsabelPaz5","AntoonioMunoz",1.3359865370168E+018,"Ecuador"
"gield0n","Hrendon70",1.33681022187275E+018,"Ecuador"
"Anyeld0","GabuPsychic",1.33664637295573E+018,"Ecuador"
"AnaTeresaBoli","UNESECUADOR",1.33721819812772E+018,"Ecuador"
"JorgeAmar30","BaironValleP",1.30708800729663E+018,"Ecuador"
"Anyeld0","Paul_Evel",1.3374254082335E+018,"Ecuador"
"Gutiercio","SDegreace",1.33736630528084E+018,"Ecuador."
"Valeriarilopez","creocuenca",1.33647393675486E+018,"Ecuador"
"Valeriarilopez","creocuenca",1.33647393675486E+018,"Ecuador"
"JorgeAmar30","luislacc",1.33443886561724E+018,"Ecuador"
"ElenaMariRojas","virgiliohernand",1.33538115810906E+018,"Ecuador"
"RamirezSofiapao","TuiterosRcPich",1.33598476854306E+018,"Ecuador"
"valeaval0","elcomerciocom",1.33761440391551E+018,"Ecuador"
"chiguijaecuador","MorenaMia2020",1.33796254788715E+018,
"chiguijaecuador","Poppymrb",1.33869157086279E+018,
"ecuarauz","LassoGuillermo",1.34071921279337E+018,"Ecuador"
"GussiVu","ecuarauz",1.34078328459119E+018,"Gualaceo, Ecuador"
"JuanGaVacacela","MashiRafael",1.3412475647342E+018,"Loja, Ecuador"
"JuanGaVacacela","UnCafeConJJ",1.34135896405156E+018,"Loja, Ecuador"
"MalindaCV","CorreaRafita",1.34341669277756E+018,"Ecuador"
"MalindaCV","vicjua6",1.34341118518665E+018,"Ecuador"
"MalindaCV","Ecuarisa2000",1.34340641653563E+018,"Ecuador"
"MalindaCV","savirosero",1.34341830212368E+018,"Ecuador"
"MalindaCV","vicjua6",1.34341024319636E+018,"Ecuador"
"MalindaCV","vicjua6",1.34340956566529E+018,"Ecuador"
"MalindaCV","vicjua6",1.34340876636933E+018,"Ecuador"
"fabmons64","amandaasubiar",1.3226294133731E+018,"Cuenca - Ecuador"
"cpmrc1","DanielGranja7",1.32306831861452E+018,
"alexagacebo","ianivancoronel1",1.3245566298667E+018,"Ecuador"
"AnaLuFlores4","JPatriaRenovada",1.32468781899257E+018,"Ecuador"
"MariaJTorres1","LosRiosVanessaF",1.32434037820455E+018,"Ecuador"
"MariaIsaLopez3","ferhifra",1.32238682832706E+018,"Ecuador"
