"","from_user_name","to_user_name","in_reply_to_status_id","quoted_status_id","location","from_user_realname","from_user_tweetcount","from_user_followercount","from_user_friendcount","from_user_favourites_count","from_user_listed"
"1","memotabora","",NA,1324452049908570112,"San Pedro Sula, Honduras","Guillermo Tábora",10734,385,483,5546,6
"2","Claudia_Marissa","",NA,NA,"","Claudia Marissa",4642,555,1015,6710,21
"3","gabgarfer","",NA,NA,"Planeta Tierra","Gabriel Garcia",3115,104,320,6728,2
"4","MrsTuppence","",NA,1324788992819249920,"","MrsTuppence",331,8,73,5548,0
"5","bunigonzales","",NA,NA,"Honduras","Buni",57039,1979,779,55487,0
"6","BoliviaLucho","",NA,1325212910889530112,"","👉🐯LuchoPorBolivia🐯👈🇧🇴",21049,502,711,6762,0
"7","hondufutbol007","",NA,1325229318453260032,"","HonduFutbol🇭🇳🦁🇫🇷",4357,141,330,5551,0
"8","hondufutbol007","",NA,NA,"","HonduFutbol🇭🇳🦁🇫🇷",4358,141,330,5553,0
"9","hondufutbol007","",NA,1325467163579310080,"","HonduFutbol🇭🇳🦁🇫🇷",4360,141,330,5555,0
"10","elisaa9_","",NA,NA,"Honduras","Elisa",4698,1228,657,671,1
"11","teacher_andy","",NA,NA,"","Rubén Rosales Sepúlveda",4334,6593,6918,6732,0
"12","amigosRSV","",NA,NA,"","Amigos del reciclaje",5734,1603,923,6759,3
"13","gabyssossa","",NA,NA,"Honduras","Gaby",82802,556,2127,67337,13
"14","hondufutbol007","HoyMismoTSI",1326288460039200000,NA,"","HonduFutbol🇭🇳🦁🇫🇷",4375,141,331,5577,0
"15","OscarAvila01","",NA,NA,"","Oscar A. Avila",113,24,166,557,0
"16","hondufutbol007","",NA,NA,"","HonduFutbol🇭🇳🦁🇫🇷",4378,141,332,5584,0
"17","PablinVallad92","",NA,NA,"Tegucigalpa, Honduras","𝑷𝒆𝒃𝒆𝒍𝒔🏳️‍🌈🇭🇳",43628,3092,2109,67093,0
"18","MedicaVandalica","",NA,1328715261688630016,"Atrincherada en tu corazón","Médica Vandálica ®",26958,6577,885,67442,8
"19","gaviota283","",NA,1329205350696969984,"","gaviota28💙🇳🇮",7122,116,2,5517,0
"20","maurmigliore","",NA,1329426954802569984,"Honduras","Maury",3160,247,284,6729,0
"21","maurmigliore","",NA,1329466561992790016,"Honduras","Maury",3164,247,284,6734,0
"22","RojaRevuelta","",NA,1329270953629659904,"America","RevueltaRoja",852,73,137,670,0
"23","GaribayAcuna","RICKFREEMAN1960",1330030768580659968,NA,"En el Corazón de mi México","Alberto G. Garibay Acuña",4187,649,1321,5522,0
"24","jass_curie","JuanOrlandoH",1330190727494710016,NA,"Honduras","JassminR.💕",12806,167,426,6713,2
"25","LeslyAguileraM1","",NA,1331303875169710080,"","Lesly Aguilera Mejia",4902,93,95,6714,0
"26","el_alerohn","",NA,NA,"San Pedro Sula,Honduras","El_alerohn",1857,1675,1536,6706,1
"27","LeslyAguileraM1","",NA,1332014147702299904,"","Lesly Aguilera Mejia",4905,93,96,6722,0
"28","LeslyAguileraM1","",NA,1332057579418249984,"","Lesly Aguilera Mejia",4906,93,96,6726,0
"29","ecuadorycuba","",NA,NA,"","elecuador",33684,2902,2968,6792,21
"30","EvaRoco","",NA,1346241108762889984,"Quito, Ecuador","Eva Rocío Villacís",19377,184,235,55456,1
"31","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116184,348,335,673,0
"32","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116190,348,335,673,0
"33","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116193,348,335,673,0
"34","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116204,348,335,673,0
"35","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116205,348,335,673,0
"36","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116206,348,335,673,0
"37","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116207,348,335,673,0
"38","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116208,348,335,673,0
"39","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116215,348,335,673,0
"40","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116216,348,335,673,0
"41","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116217,348,335,673,0
"42","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116218,348,335,673,0
"43","ecuadorycuba","",NA,1346256263055859968,"","elecuador",33685,2909,2987,6792,21
"44","ChrisTorres1902","",NA,1346434988464549888,"","Chris Torres",10563,116,366,551,0
"45","MilagrosRangel_","",NA,NA,"Ecuador","Milagros Rangel",6167,139,150,5529,1
"46","lapizurdo","",NA,NA,"Quito","Roque",483,1490,82,55,17
"47","biomauro_rtg","",NA,1346968833651859968,"Tena, Ecuador","Mauricio Ortega",12371,1368,763,55274,19
"48","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116351,348,335,673,0
"49","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116365,348,335,673,0
"50","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116368,348,335,673,0
"51","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116373,348,335,673,0
"52","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116379,348,335,673,0
"53","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116383,348,335,673,0
"54","thegodfatherles","",NA,NA,"Seoul, Republic of Korea","Jorge Ponce",4882,387,1862,6707,6
"55","dayanar0408","",NA,NA,"Ecuador","Dayana Rodriguez",7123,424,879,6704,1
"56","clsamaniego2005","",NA,NA,"Quito","Carmen Luisa Samaniego",13202,501,788,5570,8
"57","AnaEscorche12","",NA,NA,"","Ana Escorche",9419,91,103,67,0
"58","EDUIVANMEN","",NA,NA,"","EDUARDO MENA",229831,797,480,67384,23
"59","maryazbek","",NA,NA,"Quito, Ecuador","Marcia Yazbek",3289,557,1266,6784,5
"60","Pazbella13","",NA,NA,"Ecuador","Lucia Paz",5384,490,920,5504,1
"61","alex6_sys","",NA,NA,"","alexander",638,35,58,550,1
"62","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116363,348,335,673,0
"63","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116364,348,335,673,0
"64","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116367,348,335,673,0
"65","nachoch76","",NA,NA,"","Ignacio Champutiz",34038,170,311,55093,13
"66","ositovolar","",NA,1347215822364829952,"","lagartopancho",72162,320,1295,55109,0
"67","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116375,348,335,672,0
"68","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116380,348,335,672,0
"69","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116381,348,335,672,0
"70","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116383,348,335,672,0
"71","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116384,348,335,672,0
"72","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116386,348,335,672,0
"73","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116387,348,335,672,0
"74","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116388,348,335,672,0
"75","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116389,348,335,672,0
"76","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116390,348,335,672,0
"77","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116391,348,335,672,0
"78","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116392,348,335,672,0
"79","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116393,348,335,672,0
"80","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116395,348,335,672,0
"81","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116396,348,335,672,0
"82","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116397,348,335,672,0
"83","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116399,348,335,672,0
"84","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116409,346,335,672,0
"85","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116411,346,335,672,0
"86","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116412,346,335,672,0
"87","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116414,346,335,672,0
"88","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116427,346,335,672,0
"89","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116428,346,335,672,0
"90","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116432,346,335,672,0
"91","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116438,346,335,672,0
"92","MariSch03","",NA,NA,"Ecuador","Maria Sánchez",6631,190,597,6762,2
"93","Charis61450893","",NA,NA,"","Charis",20,5,5,55,0
"94","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116462,346,335,672,0
"95","AlfredoGuri","AlfredoGuri",1347584164728590080,NA,"Loja, Ecuador","Luis Gutiérrez",140,90,528,679,2
"96","ramiro_rc7","",NA,NA,"","Ramiro RC",30898,199,367,6792,1
"97","LukasJr999","",NA,NA,"Tena","Josimar Nieto",482,277,480,551,3
"98","LukasJr999","",NA,NA,"Tena","Josimar Nieto",483,277,480,553,3
"99","dietor19876","",NA,NA,"Zamora, Ecuador","Diego Torres Moreno",3820,79,55,671,2
"100","dayanar0408","",NA,NA,"Ecuador","Dayana Rodriguez",7194,425,880,6774,1
"101","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116468,346,335,672,0
"102","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116474,346,335,672,0
"103","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116478,346,335,672,0
"104","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116481,346,335,672,0
"105","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116483,346,335,672,0
"106","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116505,346,335,672,0
"107","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116514,346,335,672,0
"108","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116515,346,335,672,0
"109","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116530,346,335,672,0
"110","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116531,346,335,672,0
"111","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116535,346,335,672,0
"112","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116539,346,335,672,0
"113","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116542,346,335,672,0
"114","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116552,346,335,672,0
"115","EconJoseOna","",NA,NA,"Ecuador","JOSÉ OÑA",772,59,121,556,1
"116","GeorginaMoranC1","",NA,NA,"El Oro, Ecuador","Georgina 〽️orán #QuedateEnCasa #EcuadorUnido",116599,346,335,672,0
"117","alex6_sys","",NA,NA,"","alexander",645,35,58,557,1
"118","GuerreroXlibert","",NA,NA,"","Guerreros Por La Libertad",5004,114,358,6758,0
