"","Var1","Freq"
"1","",902
"2","Ambato, Ecuador",2
"3","Azogues",1
"4","Azuay, Ecuador",2
"5","Babahoyo, Ecuador",1
"6","Barquisimeto, Venezuela",1
"7","Cartagena, Colombia",1
"8","Carupano",1
"9","Cuenca",8
"10","Cuenca - Ecuador",3
"11","Cuenca, Ecuador",17
"12","DESDE EL PUPO DEL MUNDO!",6
"13","Donde tu no estas",1
"14","EC",1
"15","Ecuador",80
"16","ECUADOR",1
"17","Ecuador-Guayaquil",1
"18","El Carmen Manabi, Via a Venado",24
"19","El Empalme",2
"20","El Oro, Ecuador",1
"21","En tu corazón",2
"22","En Veracruz Seguro te friegan!",1
"23","ESMERALDAS",2
"24","Esmeraldas Ecuador",2
"25","España",8
"26","Guaranda, Ecuador",2
"27","guayaquil",1
"28","Guayaquil",5
"29","Guayaquil - Ecuador",11
"30","Guayaquil City-Ecuador América",1
"31","Guayaquil ecuador",7
"32","Guayaquil Ecuador",2
"33","Guayaquil-Ecuador",1
"34","Guayaquil, Ecuador",37
"35","Guayaquil,Ecuador",1
"36","Guayaquil/Ecuador",1
"37","Guayas, Ecuador",2
"38","Ibarra, Ecuador",3
"39","Junín",9
"40","Las estrellas",3
"41","Lima, Peru",2
"42","Loja-Ecuador",17
"43","Loja, Ecuador",1
"44","Manabí Ecuador",3
"45","Manabi, Ecuador",2
"46","Manta, Ecuador",1
"47","Marbella, España",1
"48","Mi❤️en Cova da Iria y Cracovia",11
"49","Milagro - Ecuador",2
"50","Montecristi, Ecuador",4
"51","Pichincha, Ecuador",1
"52","Portoviejo",2
"53","Portoviejo, Ecuador",1
"54","Pujilí, Ecuador",1
"55","quevedo",1
"56","QuevedoEc",1
"57","Quito",1
"58","Quito - Ecuador",1
"59","QUITO ECUADOR",2
"60","Quito-Ecuador",15
"61","Quito, Ecuador",40
"62","Quito/Ecuador",1
"63","Recinto Río Seco, Samborondon",2
"64","S 2°52' 0'' / W 79°2' 0''",1
"65","Samborondon, Ecuador",2
"66","Santiago REP DOM",1
"67","Tierra 616",2
"68","Tulcan, Ecuador",3
"69","Valle de los Chillos",2
"70","VENEZUELA LIBRE",2
"71","Ventanas, Los Ríos, Ecuador",1
