"","Var1","Freq"
"1","",75
"2","America",1
"3","Atrincherada en tu corazón",1
"4","Babahoyo, Ecuador",1
"5","Barcelona, Catalunya",1
"6","Cuenca, Ecuador",4
"7","Ecuador",248
"8","ECUADOR",2
"9","El Oro, Ecuador",176
"10","En el Corazón de mi México",1
"11","Granada",1
"12","Guayakill",3
"13","Guayaquil",1
"14","Guayaquil, Ecuador",4
"15","Guayaquil, Ecuador.",2
"16","Honduras",6
"17","Kampala, Uganda",1
"18","Loja, Ecuador",1
"19","Londres",1
"20","Manta",1
"21","Pichincha, Ecuador",2
"22","Planeta Tierra",1
"23","Portoviejo, Ecuador",4
"24","Pueblo Libre",2
"25","Quito",10
"26","Quito - Ecuador",5
"27","Quito Ecuador",3
"28","Quito-Ecuador",1
"29","Quito, Ecuador",5
"30","Salvador, Brasil",1
"31","San Pedro Sula, Honduras",1
"32","San Pedro Sula,Honduras",1
"33","Santo Domingo, Ecuador",1
"34","seokjin's galaxy",1
"35","Seoul, Republic of Korea",1
"36","Tegucigalpa, Honduras",1
"37","Tena",2
"38","Tena, Ecuador",1
"39","Tierra prime",1
"40","TULCAN- ECUADOR",6
"41","Zamora, Ecuador",1
